code,year,gini_DS,quality,GDP_PWT,GDP_PC_PWT,gov_consumption_WB,years_schooling,democracy_index,GDP_MP_WB,GDP_growth_WB,inflation_WB,fertility_WB,dummy_africa,dummy_latin_america,openness
AGO,2006.0,,,64503.3671875,3792.003487020797,15.341722406159802,,,,,13.303253361405199,6.671,1.0,0.0,0.9462515933204781
AGO,2007.0,,,74966.25,4277.585171254902,15.536934703730399,,,,,12.2486755229588,6.619,1.0,0.0,1.080600678939783
AGO,2008.0,,,87251.8046875,4837.120458134854,16.814611461345102,,,,,12.4737134078335,6.559,1.0,0.0,1.213647079056402
AGO,2009.0,,,76140.9765625,4103.503350019658,19.2339291363602,,,,,13.731451136510902,6.492000000000001,1.0,0.0,1.2828817999670539
AGO,2010.0,,,97857.8046875,5128.301854001842,17.395423987846698,,,,,14.4705411972156,6.416,1.0,0.0,1.046607013976532
AGO,2011.0,,,106236.203125,5415.122020200188,18.5615425866593,,,,,13.467015350446,6.335,1.0,0.0,1.007932335670464
AGO,2012.0,,,,,18.2043811725144,,,,,10.2934943262179,6.251,1.0,0.0,0.9371967580930141
AGO,2013.0,,,,,26.898871032375396,,,,,8.7760909329091,6.165,1.0,0.0,0.866766207344494
AGO,2014.0,,,,,,,,,,7.27956154105375,,1.0,0.0,
ALB,1914.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1915.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1916.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1917.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1918.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1919.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1920.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1921.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1922.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1923.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1924.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1925.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1926.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1927.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1928.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1929.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1930.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1931.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1932.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1933.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1934.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1935.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1936.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1937.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1938.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1944.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1945.0,,,,,,,3.32,,,,,0.0,0.0,
ALB,1946.0,,,,,,,3.32,,,,,0.0,0.0,
ALB,1947.0,,,,,,,3.32,,,,,0.0,0.0,
ALB,1948.0,,,,,,,3.32,,,,,0.0,0.0,
ALB,1949.0,,,,,,,3.32,,,,,0.0,0.0,
ALB,1950.0,,,,,,2.6,0.94,,,,,0.0,0.0,
ALB,1951.0,,,,,,,0.94,,,,,0.0,0.0,
ALB,1952.0,,,,,,,0.94,,,,,0.0,0.0,
ALB,1953.0,,,,,,,0.94,,,,,0.0,0.0,
ALB,1954.0,,,,,,,0.05,,,,,0.0,0.0,
ALB,1955.0,,,,,,2.78,0.05,,,,,0.0,0.0,
ALB,1956.0,,,,,,,0.05,,,,,0.0,0.0,
ALB,1957.0,,,,,,,0.05,,,,,0.0,0.0,
ALB,1958.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1959.0,,,,,,,0.0,,,,,0.0,0.0,
ALB,1960.0,,,,,,2.98,0.0,,,,6.186,0.0,0.0,
ALB,1961.0,,,,,,,0.0,,,,6.0760000000000005,0.0,0.0,
ALB,1962.0,,,,,,,0.0,,,,5.956,0.0,0.0,
ALB,1963.0,,,,,,,0.0,,,,5.832999999999999,0.0,0.0,
ALB,1964.0,,,,,,,0.0,,,,5.711,0.0,0.0,
ALB,1965.0,,,,,,3.41,0.0,,,,5.593999999999999,0.0,0.0,
ALB,1966.0,,,,,,,0.0,,,,5.483,0.0,0.0,
ALB,1967.0,,,,,,,0.0,,,,5.376,0.0,0.0,
ALB,1968.0,,,,,,,0.0,,,,5.268,0.0,0.0,
ALB,1969.0,,,,,,,0.0,,,,5.16,0.0,0.0,
ALB,1970.0,,,8043.7197265625,3766.493488038953,,4.28,0.0,,,,5.05,0.0,0.0,
ALB,1971.0,,,8365.8974609375,3822.400777162863,,,0.0,,,,4.933,0.0,0.0,
ALB,1972.0,,,8701.8408203125,3881.9376943904044,,,0.0,,,,4.809,0.0,0.0,
